{'device_time_stamp': 184518991062, 'system_time_stamp': 184811028161, 'left_gaze_point_on_display_area': (0.06992484629154205, 0.220445454120636), 'left_gaze_point_in_user_coordinate_system': (-222.92068481445312, 250.1190185546875, 80.39411163330078), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8046722412109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.34259796142578, -9.556695938110352, 612.0042724609375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5885600447654724, 0.5234588980674744, 0.3701053857803345), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.045180901885032654, 0.1736157089471817), 'right_gaze_point_in_user_coordinate_system': (-235.99960327148438, 264.6565856933594, 85.6853256225586), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.826629638671875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (20.596778869628906, -6.1337385177612305, 611.8525390625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45409494638442993, 0.5160036087036133, 0.3676978051662445), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520657764, 'system_time_stamp': 184812694874, 'left_gaze_point_on_display_area': (0.5583704710006714, 0.27698200941085815), 'left_gaze_point_in_user_coordinate_system': (35.257728576660156, 232.56814575195312, 74.00611877441406), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.886627197265625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.38218879699707, -1.6607329845428467, 631.7967529296875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5557347536087036, 0.5066399574279785, 0.41159388422966003), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5123397707939148, 0.21496425569057465), 'right_gaze_point_in_user_coordinate_system': (10.927184104919434, 251.82057189941406, 81.01341247558594), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.9220123291015625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.6044921875, 2.0696849822998047, 634.3079223632812), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42621147632598877, 0.49885818362236023, 0.4180324375629425), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520674431, 'system_time_stamp': 184812711540, 'left_gaze_point_on_display_area': (0.5560759902000427, 0.2741521894931793), 'left_gaze_point_in_user_coordinate_system': (34.04495620727539, 233.44662475585938, 74.32581329345703), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.874267578125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.26952362060547, -1.0433850288391113, 631.2984619140625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5555438995361328, 0.5053016543388367, 0.41052088141441345), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5142921805381775, 0.21704454720020294), 'right_gaze_point_in_user_coordinate_system': (11.959237098693848, 251.17477416992188, 80.77836608886719), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8930206298828125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.68962860107422, 2.5403099060058594, 633.56591796875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4259324073791504, 0.4978216886520386, 0.416452556848526), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520691097, 'system_time_stamp': 184812728205, 'left_gaze_point_on_display_area': (0.5606590509414673, 0.28610068559646606), 'left_gaze_point_in_user_coordinate_system': (36.46742630004883, 229.73739624023438, 72.97579193115234), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.834930419921875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.196664810180664, -0.28838109970092773, 630.8964233398438), 'left_gaze_origin_in_trackbox_coordinate_system': (0.555427610874176, 0.5036689639091492, 0.40966662764549255), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5123814940452576, 0.21634063124656677), 'right_gaze_point_in_user_coordinate_system': (10.949284553527832, 251.39329528808594, 80.85792541503906), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.886993408203125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.81719207763672, 3.151155710220337, 633.4765625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4256484806537628, 0.49651262164115906, 0.416301429271698), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520707764, 'system_time_stamp': 184812744871, 'left_gaze_point_on_display_area': (0.557691216468811, 0.2815054655075073), 'left_gaze_point_in_user_coordinate_system': (34.89872360229492, 231.16390991210938, 73.4950180053711), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8235015869140625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.120630264282227, 0.5652328133583069, 630.6722412109375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5552866458892822, 0.5018292665481567, 0.40920397639274597), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.512484610080719, 0.21851801872253418), 'right_gaze_point_in_user_coordinate_system': (11.003779411315918, 250.71734619140625, 80.61192321777344), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.880950927734375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.866737365722656, 3.912508964538574, 633.072998046875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4254881739616394, 0.4948662519454956, 0.415467768907547), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520724436, 'system_time_stamp': 184812761542, 'left_gaze_point_on_display_area': (0.5547466278076172, 0.2841545641422272), 'left_gaze_point_in_user_coordinate_system': (33.342262268066406, 230.34153747558594, 73.19571685791016), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.807525634765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.068510055541992, 1.5103518962860107, 630.4571533203125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5551953911781311, 0.4997919797897339, 0.40876954793930054), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5166065692901611, 0.22009319067001343), 'right_gaze_point_in_user_coordinate_system': (13.18252944946289, 250.22837829589844, 80.43390655517578), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.862274169921875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.88817596435547, 4.815764427185059, 632.5192260742188), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4253670275211334, 0.49290648102760315, 0.414314329624176), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520741102, 'system_time_stamp': 184812778208, 'left_gaze_point_on_display_area': (0.5556327700614929, 0.26906639337539673), 'left_gaze_point_in_user_coordinate_system': (33.81064987182617, 235.02542114257812, 74.90049743652344), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.794677734375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.025638580322266, 2.493864059448242, 630.164794921875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5551313757896423, 0.4976673722267151, 0.40817299485206604), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5116580724716187, 0.2139788568019867), 'right_gaze_point_in_user_coordinate_system': (10.566868782043457, 252.12649536132812, 81.1247329711914), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.837158203125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.9169807434082, 5.7668280601501465, 632.1756591796875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4252578914165497, 0.49085232615470886, 0.41362330317497253), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520757769, 'system_time_stamp': 184812794873, 'left_gaze_point_on_display_area': (0.5563710331916809, 0.2846792936325073), 'left_gaze_point_in_user_coordinate_system': (34.20087814331055, 230.17868041992188, 73.13633728027344), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.775115966796875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.01186752319336, 3.5229735374450684, 630.056640625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5551111102104187, 0.4954513907432556, 0.4079844653606415), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5171187520027161, 0.21950218081474304), 'right_gaze_point_in_user_coordinate_system': (13.453268051147461, 250.41183471679688, 80.500732421875), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8269195556640625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.9317626953125, 6.743730068206787, 631.990234375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4251994490623474, 0.4887496829032898, 0.4132784605026245), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520774436, 'system_time_stamp': 184812811539, 'left_gaze_point_on_display_area': (0.5589356422424316, 0.2805465757846832), 'left_gaze_point_in_user_coordinate_system': (35.55647659301758, 231.46157836914062, 73.60337829589844), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7553558349609375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.996959686279297, 4.562047004699707, 629.9161376953125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5550915002822876, 0.4932115077972412, 0.40772971510887146), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.514760434627533, 0.21886450052261353), 'right_gaze_point_in_user_coordinate_system': (12.206703186035156, 250.60980224609375, 80.57273864746094), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8076629638671875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.94994354248047, 7.7471394538879395, 631.8914794921875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4251452684402466, 0.48659440875053406, 0.41312694549560547), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520791102, 'system_time_stamp': 184812828204, 'left_gaze_point_on_display_area': (0.5628179311752319, 0.2854822874069214), 'left_gaze_point_in_user_coordinate_system': (37.60855484008789, 229.92938232421875, 73.04570007324219), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.749176025390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.99020767211914, 5.603437423706055, 629.80712890625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5550862550735474, 0.4909673035144806, 0.4075479209423065), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.51829594373703, 0.21380631625652313), 'right_gaze_point_in_user_coordinate_system': (14.075486183166504, 252.18006896972656, 81.14418029785156), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.804534912109375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.95730972290039, 8.772266387939453, 631.7943115234375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42511430382728577, 0.4843919575214386, 0.41298243403434753), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520807769, 'system_time_stamp': 184812844870, 'left_gaze_point_on_display_area': (0.5565337538719177, 0.26709216833114624), 'left_gaze_point_in_user_coordinate_system': (34.28690719604492, 235.63829040527344, 75.1235580444336), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7010955810546875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.96996307373047, 6.648900985717773, 629.712158203125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.555050790309906, 0.4887142777442932, 0.40739932656288147), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5153505802154541, 0.21107162535190582), 'right_gaze_point_in_user_coordinate_system': (12.51862907409668, 253.02899169921875, 81.45326232910156), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.780426025390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (34.9782600402832, 9.822327613830566, 631.574951171875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4250379502773285, 0.4821271598339081, 0.41257986426353455), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520824436, 'system_time_stamp': 184812861536, 'left_gaze_point_on_display_area': (0.5608488917350769, 0.2589881420135498), 'left_gaze_point_in_user_coordinate_system': (36.567771911621094, 238.154052734375, 76.03923797607422), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.6977996826171875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.92100715637207, 7.69675350189209, 629.3443603515625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.554980993270874, 0.48643869161605835, 0.40665972232818604), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5108081102371216, 0.21771793067455292), 'right_gaze_point_in_user_coordinate_system': (10.117640495300293, 250.9657440185547, 80.70226287841797), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7742767333984375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (35.029136657714844, 10.899736404418945, 631.3974609375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42490336298942566, 0.47980526089668274, 0.41227734088897705), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520841103, 'system_time_stamp': 184812878202, 'left_gaze_point_on_display_area': (0.5628581047058105, 0.26242321729660034), 'left_gaze_point_in_user_coordinate_system': (37.6297721862793, 237.08767700195312, 75.65113830566406), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.6947021484375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.849498748779297, 8.75696849822998, 629.0447998046875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5548562407493591, 0.484138160943985, 0.4060710072517395), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5137750506401062, 0.21320030093193054), 'right_gaze_point_in_user_coordinate_system': (11.685869216918945, 252.3681640625, 81.21276092529297), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.77862548828125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (35.081817626953125, 11.939851760864258, 631.174072265625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42475876212120056, 0.47755858302116394, 0.41187676787376404), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520857770, 'system_time_stamp': 184812894867, 'left_gaze_point_on_display_area': (0.5805322527885437, 0.27893292903900146), 'left_gaze_point_in_user_coordinate_system': (46.97183609008789, 231.96250915527344, 73.78568267822266), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7085723876953125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.568275451660156, 9.754490852355957, 628.9462890625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5542631149291992, 0.4819846451282501, 0.40589985251426697), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.53525710105896, 0.20828434824943542), 'right_gaze_point_in_user_coordinate_system': (23.0406551361084, 253.89425659179688, 81.76815032958984), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.76727294921875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (35.28600311279297, 12.863077163696289, 630.9569091796875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42429211735725403, 0.4755619168281555, 0.4115022122859955), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520874437, 'system_time_stamp': 184812911533, 'left_gaze_point_on_display_area': (0.6969747543334961, 0.2508348822593689), 'left_gaze_point_in_user_coordinate_system': (108.51997375488281, 240.68511962890625, 76.9604263305664), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7272491455078125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.958864212036133, 10.624578475952148, 628.8009033203125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.552972674369812, 0.480102002620697, 0.40559321641921997), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.6400531530380249, 0.1853676736354828), 'right_gaze_point_in_user_coordinate_system': (78.43285369873047, 261.0083923339844, 84.35746002197266), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7558135986328125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (35.777427673339844, 13.679473876953125, 631.1097412109375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4232634902000427, 0.47382375597953796, 0.411959171295166), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520891103, 'system_time_stamp': 184812928199, 'left_gaze_point_on_display_area': (0.7619255185127258, 0.248653382062912), 'left_gaze_point_in_user_coordinate_system': (142.85110473632812, 241.36231994628906, 77.20692443847656), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.74615478515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.674915313720703, 11.42972183227539, 629.0436401367188), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5523411631584167, 0.47838661074638367, 0.406155526638031), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.706169068813324, 0.17382094264030457), 'right_gaze_point_in_user_coordinate_system': (113.3798599243164, 264.5928649902344, 85.66211700439453), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.761383056640625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.122684478759766, 14.378425598144531, 630.98583984375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4225088953971863, 0.47231486439704895, 0.411791056394577), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520907770, 'system_time_stamp': 184812944866, 'left_gaze_point_on_display_area': (0.7472313642501831, 0.2655421197414398), 'left_gaze_point_in_user_coordinate_system': (135.084228515625, 236.11947631835938, 75.29871368408203), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.735595703125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.581201553344727, 12.047462463378906, 628.678955078125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5521742105484009, 0.47702908515930176, 0.40540292859077454), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.6937555074691772, 0.1793343424797058), 'right_gaze_point_in_user_coordinate_system': (106.81840515136719, 262.8813171386719, 85.03919982910156), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7543182373046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.26749801635742, 14.979321479797363, 630.5640258789062), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42214012145996094, 0.47098997235298157, 0.4109455943107605), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520924437, 'system_time_stamp': 184812961533, 'left_gaze_point_on_display_area': (0.7548820972442627, 0.249148890376091), 'left_gaze_point_in_user_coordinate_system': (139.12818908691406, 241.20849609375, 77.1509017944336), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.715362548828125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.454608917236328, 12.450264930725098, 627.814453125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5519839525222778, 0.4760943353176117, 0.403547078371048), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.7023491263389587, 0.17968562245368958), 'right_gaze_point_in_user_coordinate_system': (111.36075592041016, 262.77227783203125, 84.99944305419922), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7369232177734375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.392417907714844, 15.398755073547363, 630.12109375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42181074619293213, 0.47005125880241394, 0.41003721952438354), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520941103, 'system_time_stamp': 184812978200, 'left_gaze_point_on_display_area': (0.7408549189567566, 0.2430931031703949), 'left_gaze_point_in_user_coordinate_system': (131.71380615234375, 243.0884246826172, 77.83517456054688), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7110748291015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.304636001586914, 12.649002075195312, 627.5205078125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5516898036003113, 0.47564274072647095, 0.40291205048561096), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.7035233974456787, 0.1734388917684555), 'right_gaze_point_in_user_coordinate_system': (111.98143005371094, 264.7114562988281, 85.70533752441406), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.728424072265625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.53965377807617, 15.616347312927246, 629.7537231445312), 'right_gaze_origin_in_trackbox_coordinate_system': (0.421444296836853, 0.46955183148384094, 0.40927815437316895), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520957770, 'system_time_stamp': 184812994867, 'left_gaze_point_on_display_area': (0.7410813570022583, 0.24839937686920166), 'left_gaze_point_in_user_coordinate_system': (131.83352661132812, 241.44119262695312, 77.2355728149414), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7205963134765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.173206329345703, 12.630121231079102, 626.71240234375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5514835119247437, 0.4756201505661011, 0.401145339012146), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.6999173760414124, 0.18172049522399902), 'right_gaze_point_in_user_coordinate_system': (110.07538604736328, 262.14056396484375, 84.76962280273438), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.736083984375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.701194763183594, 15.64883804321289, 629.3529663085938), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42104241251945496, 0.46944698691368103, 0.40843212604522705), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520974440, 'system_time_stamp': 184813011537, 'left_gaze_point_on_display_area': (0.744351327419281, 0.25195878744125366), 'left_gaze_point_in_user_coordinate_system': (133.56190490722656, 240.33621215820312, 76.83342742919922), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.707489013671875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.02328109741211, 12.49152946472168, 626.2464599609375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5512051582336426, 0.4758833348751068, 0.40011051297187805), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.6987249851226807, 0.18571710586547852), 'right_gaze_point_in_user_coordinate_system': (109.44514465332031, 260.8998718261719, 84.31806945800781), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7490234375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.86083984375, 15.494497299194336, 628.5761108398438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42059096693992615, 0.4697110652923584, 0.406753808259964), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184520991106, 'system_time_stamp': 184813028204, 'left_gaze_point_on_display_area': (0.74674391746521, 0.24874518811702728), 'left_gaze_point_in_user_coordinate_system': (134.8265380859375, 241.3338165283203, 77.19659423828125), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7343902587890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.836423873901367, 12.165903091430664, 625.4243774414062), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5508801341056824, 0.47652411460876465, 0.398284912109375), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.6985279321670532, 0.17594705522060394), 'right_gaze_point_in_user_coordinate_system': (109.34098052978516, 263.9328308105469, 85.42195129394531), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.742401123046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.04174041748047, 15.157665252685547, 627.7669677734375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42008844017982483, 0.4703664779663086, 0.40499240159988403), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184521007773, 'system_time_stamp': 184813044871, 'left_gaze_point_on_display_area': (0.7410385012626648, 0.2517907917499542), 'left_gaze_point_in_user_coordinate_system': (131.81085205078125, 240.3883819580078, 76.85237884521484), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.747711181640625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.622234344482422, 11.724897384643555, 625.0389404296875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5504553318023682, 0.47745001316070557, 0.39739659428596497), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.7002097964286804, 0.18261279165744781), 'right_gaze_point_in_user_coordinate_system': (110.22992706298828, 261.86358642578125, 84.66881561279297), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.758880615234375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.26679611206055, 14.65921401977539, 627.1800537109375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4195222854614258, 0.471391499042511, 0.40370482206344604), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184521024440, 'system_time_stamp': 184813061538, 'left_gaze_point_on_display_area': (0.7427613735198975, 0.2578660547733307), 'left_gaze_point_in_user_coordinate_system': (132.7215118408203, 238.5023956298828, 76.16596221923828), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7205810546875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.36175537109375, 11.170665740966797, 624.21533203125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.549970269203186, 0.4785899221897125, 0.39554548263549805), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.6991936564445496, 0.17527082562446594), 'right_gaze_point_in_user_coordinate_system': (109.69284057617188, 264.14276123046875, 85.49835968017578), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.753814697265625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.52688217163086, 14.040769577026367, 626.6051635742188), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4188816547393799, 0.4726787507534027, 0.4024388790130615), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184521041106, 'system_time_stamp': 184813078205, 'left_gaze_point_on_display_area': (0.7398956418037415, 0.25822174549102783), 'left_gaze_point_in_user_coordinate_system': (131.20675659179688, 238.39199829101562, 76.12577056884766), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7287445068359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.083087921142578, 10.625539779663086, 623.7276000976562), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5494140982627869, 0.4797374904155731, 0.39442405104637146), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.7052322030067444, 0.18565519154071808), 'right_gaze_point_in_user_coordinate_system': (112.8846664428711, 260.91912841796875, 84.32498931884766), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.764801025390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.78614807128906, 13.381834030151367, 625.9305419921875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.41822683811187744, 0.4740477204322815, 0.40095454454421997), 'right_gaze_origin_validity': 1}
